timestamp, utilization.gpu [%], memory.used [MiB]
2024/12/17 16:07:39.651, 100 %, 5771 MiB
2024/12/17 16:07:40.651, 0 %, 5771 MiB
2024/12/17 16:07:41.651, 100 %, 5771 MiB
2024/12/17 16:07:42.652, 0 %, 5771 MiB
2024/12/17 16:07:43.652, 100 %, 5771 MiB
2024/12/17 16:07:44.652, 0 %, 5771 MiB
2024/12/17 16:07:45.653, 100 %, 5771 MiB
2024/12/17 16:07:46.653, 0 %, 5771 MiB
2024/12/17 16:07:47.653, 100 %, 5771 MiB
2024/12/17 16:07:48.654, 0 %, 5771 MiB
2024/12/17 16:07:49.654, 96 %, 5771 MiB
2024/12/17 16:07:50.654, 0 %, 5771 MiB
2024/12/17 16:07:51.655, 96 %, 5771 MiB
2024/12/17 16:07:52.655, 16 %, 5771 MiB
2024/12/17 16:07:53.655, 0 %, 5771 MiB
2024/12/17 16:07:54.656, 29 %, 5771 MiB
2024/12/17 16:07:55.656, 0 %, 5771 MiB
2024/12/17 16:07:56.656, 33 %, 5771 MiB
2024/12/17 16:07:57.656, 0 %, 5771 MiB
2024/12/17 16:07:58.657, 48 %, 5771 MiB
2024/12/17 16:07:59.657, 0 %, 5771 MiB
2024/12/17 16:08:00.657, 53 %, 5771 MiB
2024/12/17 16:08:01.658, 0 %, 5771 MiB
2024/12/17 16:08:02.658, 67 %, 5771 MiB
2024/12/17 16:08:03.658, 0 %, 5771 MiB
2024/12/17 16:08:04.659, 79 %, 5771 MiB
2024/12/17 16:08:05.659, 0 %, 5771 MiB
2024/12/17 16:08:06.659, 89 %, 5771 MiB
2024/12/17 16:08:07.660, 0 %, 5771 MiB
2024/12/17 16:08:08.660, 100 %, 5771 MiB
2024/12/17 16:08:09.660, 0 %, 5771 MiB
2024/12/17 16:08:10.661, 100 %, 5771 MiB
2024/12/17 16:08:11.661, 0 %, 5771 MiB
2024/12/17 16:08:12.661, 100 %, 5771 MiB
2024/12/17 16:08:13.662, 0 %, 5771 MiB
2024/12/17 16:08:14.662, 100 %, 5771 MiB
2024/12/17 16:08:15.662, 0 %, 5771 MiB
2024/12/17 16:08:16.663, 100 %, 5771 MiB
2024/12/17 16:08:17.663, 0 %, 5771 MiB
2024/12/17 16:08:18.663, 100 %, 5771 MiB
2024/12/17 16:08:19.664, 0 %, 5771 MiB
2024/12/17 16:08:20.664, 100 %, 5771 MiB
2024/12/17 16:08:21.664, 0 %, 5771 MiB
2024/12/17 16:08:22.665, 100 %, 5771 MiB
2024/12/17 16:08:23.665, 0 %, 5771 MiB
2024/12/17 16:08:24.665, 100 %, 5771 MiB
2024/12/17 16:08:25.665, 0 %, 5771 MiB
2024/12/17 16:08:26.666, 100 %, 5771 MiB
2024/12/17 16:08:27.666, 0 %, 5771 MiB
2024/12/17 16:08:28.666, 100 %, 5771 MiB
2024/12/17 16:08:29.667, 0 %, 5771 MiB
2024/12/17 16:08:30.667, 100 %, 5771 MiB
2024/12/17 16:08:31.667, 0 %, 5771 MiB
2024/12/17 16:08:32.668, 100 %, 5771 MiB
2024/12/17 16:08:33.668, 0 %, 5771 MiB
2024/12/17 16:08:34.668, 100 %, 5771 MiB
2024/12/17 16:08:35.669, 0 %, 5771 MiB
2024/12/17 16:08:36.669, 100 %, 5771 MiB
2024/12/17 16:08:37.669, 0 %, 5771 MiB
2024/12/17 16:08:38.669, 100 %, 5771 MiB
2024/12/17 16:08:39.670, 0 %, 5771 MiB
2024/12/17 16:08:40.670, 100 %, 5771 MiB
2024/12/17 16:08:41.670, 0 %, 5771 MiB
2024/12/17 16:08:42.671, 100 %, 5771 MiB
2024/12/17 16:08:43.671, 0 %, 5771 MiB
2024/12/17 16:08:44.671, 100 %, 5771 MiB
2024/12/17 16:08:45.672, 0 %, 5771 MiB
2024/12/17 16:08:46.672, 100 %, 5771 MiB
2024/12/17 16:08:47.672, 0 %, 5771 MiB
2024/12/17 16:08:48.673, 100 %, 5771 MiB
2024/12/17 16:08:49.673, 0 %, 5771 MiB
2024/12/17 16:08:50.673, 100 %, 5771 MiB
2024/12/17 16:08:51.674, 0 %, 5771 MiB
2024/12/17 16:08:52.674, 100 %, 5771 MiB
2024/12/17 16:08:53.674, 0 %, 5771 MiB
2024/12/17 16:08:54.675, 100 %, 5771 MiB
2024/12/17 16:08:55.675, 0 %, 5771 MiB
2024/12/17 16:08:56.675, 100 %, 5771 MiB
2024/12/17 16:08:57.676, 0 %, 5771 MiB
2024/12/17 16:08:58.676, 100 %, 5771 MiB
2024/12/17 16:08:59.676, 0 %, 5771 MiB
2024/12/17 16:09:00.676, 100 %, 5771 MiB
2024/12/17 16:09:01.677, 0 %, 5771 MiB
2024/12/17 16:09:02.677, 100 %, 5771 MiB
2024/12/17 16:09:03.677, 0 %, 5771 MiB
2024/12/17 16:09:04.678, 100 %, 5771 MiB
2024/12/17 16:09:05.678, 0 %, 5771 MiB
2024/12/17 16:09:06.678, 29 %, 5771 MiB
2024/12/17 16:09:07.679, 0 %, 5771 MiB
2024/12/17 16:09:08.679, 15 %, 5771 MiB
2024/12/17 16:09:09.679, 1 %, 5771 MiB
2024/12/17 16:09:10.680, 11 %, 5771 MiB
2024/12/17 16:09:11.680, 5 %, 5771 MiB
2024/12/17 16:09:12.680, 0 %, 5771 MiB
2024/12/17 16:09:13.681, 22 %, 5771 MiB
2024/12/17 16:09:14.681, 0 %, 5771 MiB
2024/12/17 16:09:15.681, 31 %, 5771 MiB
2024/12/17 16:09:16.682, 0 %, 5771 MiB
2024/12/17 16:09:17.682, 48 %, 5771 MiB
2024/12/17 16:09:18.682, 0 %, 5771 MiB
2024/12/17 16:09:19.683, 53 %, 5771 MiB
2024/12/17 16:09:20.683, 0 %, 5771 MiB
